stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,0,1.34,2.68,0,0,0,0
3Month,0.32,0.32,0.64,0,0.64,0.64,1.6,0.96,0.32,0.64,0.32,0,0,0.32,0,0,0,0,28.8,0.32,0.32,16,0.32
22Month,0,0,0.55,0,0,0.55,7.11,0,0,0.55,0,1.09,2.19,0,0,0,0.55,0,2.19,0,0,0,0
