stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,237.01,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,2.14,2.14,0,0,0,0,0,1.07,2.14,0,4.28,0,0,31.02,46,0,1.07,7.49,0,0,59.91,1.07,0,0,0
21Day,0,0,6.69,0,0,0,0,0,0,0,0,0,0,6.69,0,0,10.71,5.35,0,1.34,1.34,0,0,5.35,2.68,0,0,1.34
3Month,0.32,0,8.64,0,0,0.32,4.8,0,0.32,0.64,0.64,0.96,0.64,1.6,0,0.64,0,0.32,0.32,0,0,0.32,0.32,0.32,0.32,1.92,0.64,0
22Month,0,1.09,2.73,0,0,1.09,14.21,0.55,0.55,1.64,0,0,0,1.64,0.55,0,0,0,1.09,0,0,0,0,0.55,0,0,0,0
