stage,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Nephron_cell,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0
3Month,8.32,0.32,0.32,0,0.32,0.32,0.32,0,0,0
22Month,42.64,0,0,0,0,0,0,0.55,0,0.55
