stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,5.35,0,1.07,0,0,3.21,1.07,0,0,0,0,0,0
21Day,0,13.39,0,0,0,0,0,0,0,1.34,2.68,0,2.68,0,4.02,0,0,1.34,1.34,1.34,0,0,0,0,0
3Month,0.64,18.24,0.32,0.32,0.32,0.96,0,1.92,0.96,0.32,2.88,0.32,2.88,0.96,0.32,0.32,0.32,0,0,0,1.28,1.28,0.64,1.6,0.64
22Month,0.55,0,0,0,0,0,0,4.37,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
