stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,8.17,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,1.07,2.14,5.35,9.63,8.56,1.07,0,0,0,0,0
21Day,1.34,4.02,4.02,0,0,0,1.34,0,2.68,6.69,8.03,8.03,2.68,1.34,1.34,1.34,0,0
3Month,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0.96,0.64
22Month,0,0,0,0.55,0.55,4.92,0,0,0,0,0,0,0,0,0,0,0,0
