stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,89.9,0,0,0,0,0,0,0,0,93.99,0,0,0,0,20.43,53.12,44.95,0,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,23.54,0,1.07,0,0,0,0,1.07,0,0,0,0,4.28,0,7.49,50.28,0,6.42,0,1.07,0,19.26,7.49,0,1.07,0,1.07,0,0,3.21,0,1.07,0,0,0
21Day,4.02,0,6.69,135.19,0,0,0,2.68,0,5.35,0,0,0,1.34,0,5.35,2.68,6.69,40.16,20.08,13.39,1.34,0,2.68,13.39,6.69,0,2.68,0,5.35,2.68,0,9.37,2.68,0,0,0,12.05
3Month,1.6,1.92,20.8,189.73,0.32,0,1.28,0,0.32,202.85,7.36,0,0,16.32,6.4,3.84,129.9,4.8,6.4,24.96,8.96,1.92,0,3.2,2.56,0.64,3.84,9.28,0,0.32,3.52,9.6,16.32,0,0.32,0.64,4.16,64.95
22Month,0,1.64,36.08,38.81,0,0,1.64,0,0,41,13.12,0.55,0,21.32,0.55,9.84,110.97,4.37,1.64,34.99,4.37,0,1.09,1.64,1.64,1.09,2.19,21.32,1.64,0.55,1.64,12.03,29.52,1.09,0,0,0,19.68
