stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,53.12,0,4.09,0,0,0,0,4.09,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,23.54,1.07,0,1.07,0,0,0,2.14,0,0,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,14.72,14.72,4.02,0,12.05,0,0,1.34,0,0,17.4,4.02,0,26.77,1.34,0,0,1.34,0,2.68,1.34,21.42,0,1.34,0,0,1.34,0,0,0
3Month,0.32,0.64,21.76,103.66,0,0.96,69.43,1.92,0,27.52,5.76,1.28,127.98,61.43,5.76,28.16,5.44,0.64,0,1.92,5.44,0.96,0.32,19.52,0.96,3.84,3.84,0,0,1.92,2.24,6.08
22Month,0,2.19,19.13,51.93,0,0,53.57,4.37,0.55,49.2,4.37,0,133.38,14.76,1.09,10.93,2.73,0,1.09,1.64,1.09,0,0,12.57,1.09,0.55,1.09,0.55,0,0.55,0,1.09
