stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,89.9,0,0,0,0,0,0,49.04,0,0,0,0,40.86,0,0,0,0,0,0,20.43,4.09,0,0,0,0,0,0,0
72hpf,0,18.19,4.28,1.07,0,0,0,0,0,0,0,0,3.21,49.21,0,1.07,0,0,0,10.7,2.14,0,2.14,0,0,0,0,0,0
21Day,1.34,72.28,5.35,0,0,1.34,0,0,0,0,0,0,1.34,16.06,1.34,0,0,0,0,9.37,4.02,0,0,0,0,0,0,0,1.34
3Month,0,53.75,2.24,0,0.32,0,0.32,0.32,0,1.6,0.32,0.64,5.44,5.44,0,0.64,0.64,0.32,1.6,11.2,0.64,0.64,0,0,7.68,0.32,0.32,1.6,0.64
22Month,0,14.21,1.09,0,0,0,0,0.55,0,3.83,0.55,0.55,0.55,4.37,0,0.55,0,0,0,2.19,0,0.55,0,0.55,1.09,0,0.55,0,0
