stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,26.74,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0,0
21Day,307.86,6.69,0,1.34,0,0,0,0,1.34,0,1.34,6.69,0,1.34,0,1.34,10.71,8.03,0,1.34,0,4.02,0,0
3Month,66.87,0,0.32,0,0.32,0.96,2.56,1.28,0.32,1.92,0.32,26.56,0.64,0.64,0.64,0.32,0,0,0.32,0.32,0.64,0.32,0.64,0.32
22Month,1.09,0,0,0,0,0,0.55,0,0,0,0,2.19,0.55,0,0,0,0,0,0,0,0,0,0,0
