stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,1.07,0,4.28,1.07,1.07,0,1.07,0,1.07,0,0,0,0,1.07,3.21,29.95,4.28,0,0,0,0,16.05,23.54,1.07,5.35,0,0,4.28,0,0,0,0,0,0
21Day,0,1.34,0,6.69,0,2.68,0,0,0,2.68,0,2.68,37.48,0,0,1.34,53.54,2.68,0,0,0,0,6.69,5.35,0,2.68,4.02,0,0,0,1.34,0,0,0,29.45
3Month,0,0.64,0.32,3.52,0,0,0.96,0.96,0.64,5.12,7.68,5.44,1.92,1.28,0.32,0.64,49.59,1.92,1.6,0,0.96,1.28,0.64,0.32,0,0.32,0.64,0.32,0,0,0,0,0.64,1.92,66.87
22Month,0,3.83,0,4.37,0,0,0.55,1.64,1.09,6.56,64.51,3.28,8.2,1.64,0,1.09,62.87,2.19,0,1.64,0.55,0,0,0,0.55,0,0,2.19,0,0.55,0,0,0,0,37.17
