stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,13.91,25.67,2.14,0,0,0,0,0,0,0,0,4.28,0,4.28,0,0,0,32.09,3.21,2.14,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,20.08,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,5.35,0,0,0,2.68,0,1.34,0,1.34,0,0,0
3Month,0.32,0.32,0.32,34.55,5.12,0,0.32,1.6,2.56,13.44,3.2,0.32,4.16,3.52,3.52,2.24,2.56,1.28,1.92,0.32,24,0,3.2,1.6,0.32,2.56,18.24,0.64,0,0.96,678.29,2.88
22Month,0,0,0,12.57,0,0,0,0,1.09,13.67,0.55,0.55,1.09,0.55,2.19,0,0.55,0,0,0,7.11,0,2.73,0,0,0,2.19,0,0,0,3.28,0.55
