stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,290.13,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,71.68,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,1.07,0,0,0,0,0,0
21Day,69.6,0,1.34,0,2.68,0,0,0,0,1.34,0,0,0,2.68,0,0,1.34,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0.32,0,0,0.96,0,0,0,0.96,0,0,0.32,0.64,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0.32,0
22Month,0,0.55,0.55,1.64,0,1.09,1.64,32.25,1.64,0.55,0,0,0.55,2.73,1.09,0,0,0.55,0.55,0.55,0,0.55,0,0.55,0.55,0,1.64
