stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,3.21,0,3.21,0,0,0,0
21Day,1.34,0,0,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0,0.64,0.32,1.28,0,0,1.28,0.64,0,8.64,0.64,0,5.44,0.64,0.64,1.28,0,0,0.64,0,0,0.32,1.6,1.28,0.32,1.28,1.28
22Month,0,0,0,1.64,0.55,0,0.55,1.64,0.55,49.75,1.09,0.55,3.28,0,0.55,1.64,1.09,1.09,0,0,0,0,0.55,0,0,0,0
