stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,10.7,10.7,0,0,4.28,0,0,0,1.07,0,0
21Day,1.34,0,1.34,1.34,2.68,0,0,0,0,1.34,0,0,0,0,12.05,0,0,0,1.34,4.02,0,0,8.03,0,1.34,4.02,0,0,0
3Month,0,0.64,1.6,0.32,0,0.64,0.96,3.52,0.64,0,2.88,1.28,0.64,0.64,2.56,0.96,0.32,1.6,0.32,0.64,0.96,0.32,0,0.64,29.76,0,0,1.28,8.64
22Month,0,0,0.55,0,0,0,0,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
