stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,8.56,1.07,0,0,0,0,0,0,0,0,0,0,14.98,1.07,5.35,0,0,0,0,4.28,14.98,0,0,9.63,0,0,1.07,0,0,0,0,0
21Day,2.68,0,0,10.71,0,0,1.34,0,0,0,0,1.34,2.68,0,0,2.68,1.34,14.72,0,0,0,0,2.68,0,0,0,5.35,1.34,0,0,4.02,1.34,0,0,0
3Month,0,1.28,0,21.12,0,0.64,0,1.28,1.6,0,23.36,0.96,0.32,3.84,1.28,8.64,1.6,5.12,1.6,0,0.32,0.96,0,0,1.6,0,0,0.64,1.6,0.32,0,0.32,5.12,3.84,0.96
22Month,0.55,2.19,2.19,11.48,0,0.55,0,0.55,0.55,3.83,48.11,0.55,0,10.39,1.09,1.09,2.19,4.37,0.55,2.19,0.55,0.55,0,0,0.55,0.55,1.09,0,1.09,0,0,0,1.64,0,1.09
