stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0
21Day,1.34,0,1.34,5.35,0,10.71,4.02,0,0,5.35,0,1.34,2.68,1.34,2.68,0,9.37,0,0,0,1.34,4.02,0,4.02,0,0,1.34,1.34,0,0,0
3Month,0.64,0,0,5.12,0.32,0,0,0.96,1.28,29.12,0.96,0,15.04,0.32,0.32,0.32,1.92,0.64,0.32,0.32,0,0,1.28,0,1.28,1.6,0,0,0.32,3.52,0.64
22Month,0.55,0,0.55,1.64,0,0,0,0.55,0.55,13.67,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0
