stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,1.07,6.42,0,7.49,0,0,0,403.31,23.54,0,0,8.56,0,2.14,4.28,0,0,1.07,0,0,0
21Day,2.68,1.34,4.02,53.54,38.82,0,2.68,0,0,0,0,1.34,0,1.34,0,0,8.03,5.35,25.43,0,2.68,0,1160.51,13.39,0,0,6.69,6.69,6.69,1.34,1.34,2.68,0,0,0,4.02
3Month,0,1.6,0.32,25.92,0,1.6,0,0.64,4.48,0,0,7.04,17.92,0.32,5.44,2.24,7.68,7.36,17.6,3.52,1.6,2.88,14.4,0,0.64,0.32,0,0.96,84.47,0.64,0,0,0,646.62,31.99,6.08
22Month,0,0.55,0.55,25.69,0,0,0,0,2.19,1.64,0,9.29,0.55,0.55,2.19,0,0,8.75,7.11,1.64,3.28,0,8.2,0,0,1.09,0,0.55,39.91,3.28,0,0,0,25.15,0,0.55
