stage,Cardiomyocyte,Erythrocyte,Granulocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,4.09,0
72hpf,1.07,0,0,0,6.42,2.14,0
21Day,0,1.34,1.34,5.35,0,1.34,1.34
