stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0,3.2,0.32,1.28,1.28,3.84,0.64,1.28,0.32,0,0.64,0.32,0.32,0.32,1.92
22Month,0,0.55,0.55,0,1.64,1.64,0,0,2.19,0,0.55,0.55,0,0,0,0
