stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0.32,0,3.2,2.24,0.32,0.64,0,0.32,0.64,0,0.32,0,0,0,0,0,0.32,0.96,0,0,0.32,0.64
22Month,1.09,2.19,4.37,0,1.64,9.84,2.19,41.55,0.55,1.09,6.01,0.55,4.37,2.73,2.73,2.19,0,0.55,0.55,0.55,4.37,0,0.55,1.09,0.55,0.55,1.64
