stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
24hpf,0,12.26,0,0,0,0,0,4.09,0,4.09,0,0,4.09,16.35,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
3Month,0.32,1.6,0.32,0.32,0.32,0.64,0.96,0.32,0.32,0,0.96,0.32,0.64,0,0.32,22.08,32.95
