stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0.32,0,0.96,0,17.92,1.28,0,0.64,0.32,0.96,0.32,0.96,0,0.96,0,0,0.96,0.96,0,0.64,0.64
22Month,0,0.55,1.09,1.09,18.04,0,0.55,1.64,0,0.55,0,0,0.55,0,0,0.55,0,0.55,0,0,0
