stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,89.9,0,0,0,0,0,0,4.09,0,0
72hpf,3.21,0,4.28,0,0,0,0,0,3.21,0,35.3,0,1.07,26.74,158.33,0,4.28,0,0,0,2.14,3.21,0,0
21Day,10.71,0,1.34,4.02,0,0,0,0,1.34,0,36.14,0,29.45,26.77,28.11,0,0,4.02,0,2.68,0,1.34,0,0
3Month,0,0,0.64,0,0.32,0,0,0.32,0.32,0.64,0.96,0,0,0.32,0.32,0.32,0,0,0.64,0.96,0,0.64,0.64,0.32
22Month,0,0.55,1.09,0,0.55,0.55,1.09,8.75,0.55,0,3.83,1.09,0.55,0,0.55,0,0,0,1.64,9.84,0,0.55,0,0.55
