stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,8.17,0,0,28.6,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,4.28,2.14,1.07,0,0
21Day,0,1.34,0,0,1.34,1.34,6.69,0,0,2.68,4.02,0,0
22Month,3.28,0.55,0.55,2.73,53.57,0,3.28,2.73,0.55,0,0,0.55,1.09
