stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,4.09,0,4.09,0,0,0,0,4.09,0,4.09,0,8.17,36.78,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,1.07,1.07,0,1.07,0,3.21,4.28,2.14,0,0,0
21Day,6.69,0,4.02,1.34,1.34,0,0,1.34,0,0,0,4.02,0,0,0,1.34,0,0,0
3Month,0,0.64,0.64,0,0,0.32,0.32,0.32,0,1.6,0,0.32,0.64,0,0,0,3.52,0.32,0.64
22Month,0,0.55,0,0,0,0,0,1.09,0,0,0.55,1.64,0,0,0,0,0,0,0
