stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,2.14,12.84,0,1.07,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,0,0,12.05,2.68,0,0,0,0,0,0,1.34,5.35,9.37,0,12.05,0,1.34,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.96,0.96,143.66,0,1.6,1.92,2.56,7.68,0,38.71,12.8,2.24,15.36,2.56,9.6,15.68,4.48,0.64,0,3.2,1.6,0.32,0,2.24,0.64,0,1.6,7.04,1.92,1.28,13.12
22Month,2.19,0.55,21.87,0,0,1.09,2.19,10.93,1.09,18.59,3.83,2.73,41.55,0.55,1.64,6.01,3.28,0,0.55,2.19,0,1.09,0,2.19,1.64,0,1.09,1.09,0.55,0,2.73
