stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,2.14,0,0,0,0,0,0,0,0,11.77,0,0,0,4.28,6.42,0,28.88,0,0,8.56,0,0,0
21Day,1.34,0,0,2.68,2.68,0,0,0,0,0,0,0,0,28.11,0,0,0,1.34,0,0,21.42,1.34,0,0,1.34,1.34,0
3Month,0,0.64,0,1.28,0,0,0,0,1.92,0.64,1.28,0.64,0.96,2.24,0,0.32,0.32,0,0,0,0.32,0,2.56,0,0,0,0.64
22Month,0,0,0.55,1.09,0,1.09,1.64,1.09,16.4,0.55,3.28,0,0.55,2.19,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0,0
