stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,10.7,1.07,0,0,0,0,1.07,0,0,0
21Day,9.37,0,1.34,0,0,0,4.02,17.4,0,0,6.69,0,0,0,0,0,0,1.34,0,8.03
3Month,0.32,0.96,0,0,0.64,52.47,0.64,0,0.64,0.32,2.24,0.96,0.32,0.32,0.32,1.92,0,0,0.64,17.6
22Month,0,0,0,0.55,0,28.43,0.55,0,0,0,16.95,0.55,0,4.37,0,0,0,0,0,22.96
