stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,8.17,0,0,0,0,0,0,16.35,8.17,0,4.09,0,20.43,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,14.98,35.3,0,0,3.21,1.07,0,1.07,0,0,0
21Day,0,4.02,0,0,0,0,0,0,57.56,1.34,0,0,4.02,1.34,0,0,0,0,1.34
3Month,0.32,3.52,0.64,0,1.28,0.64,0,0.32,1.6,0.32,0.32,0.64,0,0,0.32,0,1.92,0.64,0.32
22Month,0,0,0,0.55,4.92,0,0.55,0.55,1.64,0,0,0.55,0,0,0.55,0,0,0,0
