stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,32.69,0,0,0,0,0,4.09,0,0,0,0,0,4.09,8.17,61.3,0,0,32.69,596.62,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,7.49,1.07,5.35,1.07,2.14,0,0,0,0,0,0,0,0,6.42,16.05,2.14,37.44,0,1.07,187.21,117.68,0,0,27.81,0,0,12.84,0,0,1.07,0,0,0
21Day,12.05,2.68,30.79,2.68,17.4,8.03,1.34,4.02,0,1.34,1.34,22.76,2.68,12.05,12.05,9.37,101.73,1.34,8.03,108.42,74.96,0,1.34,29.45,2.68,0,6.69,1.34,1.34,0,0,0,20.08
3Month,0,0,7.04,0.32,0,0,0.96,2.56,0,7.04,1.6,0,0.64,0.64,1.6,4.16,1.28,2.24,0.32,0.32,0,0.64,0.32,0,0.32,5.76,0,0,0,0,1.28,2.88,1.92
22Month,0,1.09,2.19,0,0,0,0,2.19,0,9.29,1.09,0,1.09,0,0,1.64,2.19,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0.55
