stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,7.49,0,1.07,0,41.72,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,1.34,24.09,1.34,0,0
3Month,0.64,0,0.32,0,0.64,0,0,0.32,0,0,0.64,0,2.88,0.96
22Month,0,0,0,0,0.55,0.55,0,0,0,0,1.09,0,3.28,0
