stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.32,2.56,1.6,0.96,0.32,0.32,0.32,0.32,0.64,0.96,0.32,4.8,0,0.64,7.68,0.32,22.08,3.2
22Month,0,1.64,0.55,2.19,0.55,1.09,1.09,0,1.09,0.55,0,2.73,0,0,8.75,0,0,1.64
