stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,4.09,0,0,4.09,28.6,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,1.34,0,0,0,0,0,18.74,0,0,0,0
3Month,0.32,0.96,0,0.32,1.92,0.32,0.64,0.32,0.64,1.6,0,0.64,0,50.23,0.32,10.88,3.2,0.64
22Month,0,0,0,0.55,1.64,0,2.73,0,0,0,0.55,0,0,21.87,0,3.28,0,0
