stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,6.69,0,0,0,0,0,0,0,1.34,1.34,0,2.68,2.68,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0
3Month,0,0.64,2.88,0.32,0.32,0.32,0.32,0.32,9.28,0.32,0,1.6,0.32,0.64,0.32,0.32,0,0,0,0.32,0.32,0,0.64,1.6,0.32,0,0.64,0.32,1.92
22Month,0,0,1.09,0,0,0,1.09,0,10.93,0,0,0.55,0,0,2.19,0.55,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0.55
