stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,2.14,9.63,0,22.47,0,26.74,0,0,9.63,4.28,0,0,0,21.4,0,0,1.07,0,0,0,0
21Day,8.03,0,0,5.35,4.02,0,0,0,0,0,8.03,0,0,0,0,4.02,1.34,56.22,0,0,1.34,0,6.69,0,0,1.34,0,18.74,16.06,0,0,1.34,0,0,1.34
3Month,0,2.56,2.88,21.44,0,1.6,0,0.96,2.88,0.32,487.28,2.56,1.28,9.6,1.92,7.68,3.84,17.6,9.28,0.32,2.56,1.92,0.32,0,0.64,0.96,0,0,6.72,2.56,0,0.32,3.84,2.56,3.2
22Month,1.09,1.64,1.64,4.92,0,2.19,0.55,0,3.28,2.73,516.59,0,0.55,9.84,0.55,0.55,2.73,26.24,0.55,8.2,0.55,0.55,0.55,0,0.55,1.09,0.55,0.55,2.19,2.73,0.55,0,0.55,0,0
