stage,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,4.28,2.14,0,1.07,0,0
21Day,4.02,0,0,1.34,0,0,0,0,0,2.68,0,0,0,1.34,0
3Month,1.28,0.64,0,3.2,0.32,0.32,0.64,1.28,0,0,0,0.64,0,0,0.32
22Month,0,0,0,1.64,0,0.55,0,0,0.55,0,0,0,0,0,0
