stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,224.75,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,26.74,0,0,0,0,0,0,0,0,0,0,3.21,93.07,0,3.21,0,0,0,0,7.49,9.63,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,152.59,1.34,0,1.34,0,0,0,0,0,0,0,2.68,9.37,0,6.69,0,1.34,0,0,5.35,2.68,2.68,1.34,2.68,4.02,0,1.34,1.34,1.34,0,0,1.34
3Month,0,0.96,455.61,0,2.56,0,0.64,1.6,2.56,16.32,8.96,0.32,6.08,3.52,397.06,3.52,6.08,0.64,0,2.24,2.88,1.28,0.32,1.92,1.6,0.64,4.16,5.12,1.6,0,0,2.56,2.88,4.16
22Month,1.64,0,75.44,0,0.55,0,0,0,1.64,10.39,0,0.55,0.55,0.55,38.27,0.55,1.64,0,0.55,1.09,0,0.55,0,2.73,0.55,0,0,6.01,0,0,0,0.55,0,0
