stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,8.17,0,16.35,0,0,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,2.14,2.14,0,2.14,0,0,0,0,0,0,3.21,7.49,0,3.21,0,2.14,0,0,40.65,9.63,0,0,1.07,0,0,2.14,0,0,0,0
21Day,1.34,0,8.03,1.34,1.34,0,0,0,0,0,0,0,0,1.34,4.02,1.34,6.69,0,0,0,0,13.39,1.34,0,0,2.68,2.68,0,1.34,0,0,0,0
3Month,0,0.64,7.04,0.32,0,0.32,0,1.92,10.88,10.88,0.96,0.64,3.2,2.24,0.96,2.24,1.6,0.64,0,0.64,0.32,0.32,0,1.28,0.32,0,0.96,13.12,0,0.64,0.64,1.28,0.96
22Month,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0
