stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,4.09,8.17,4.09,0,0
72hpf,1.07,0,1.07,1.07,1.07,35.3,0,1.07,1.07,0
21Day,0,1.34,0,0,1.34,13.39,0,0,0,1.34
