stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,0,0,21.4,4.28,0,0,2.14,0,0,1.07,0
21Day,1.34,1.34,4.02,0,0,0,0,0,0,0,2.68,1.34,4.02,2.68,0,1.34,1.34,2.68,0,2.68,4.02,0,0,0,0
3Month,0.32,0,2.88,0.32,0.32,0.32,19.52,0.32,0,1.6,0,0.96,0.96,0.32,0,0.32,0,0,0.32,0,0,0.32,0.96,0,0.64
22Month,0,0,0,0,0,0.55,8.2,0.55,0.55,1.09,0,0,0,1.09,0.55,0,0,0,0,0,0,0,0.55,0,0
