stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,5.35,0,0,0,1.34
22Month,0.55,1.64,1.09,11.48,1.09,0.55,1.64,0.55,0,0,0.55,0.55,0.55
