stage,Endothelial_cell,Erythrocyte,Erythroid_progenitor_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,1.07,0,1.07,2.14,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0,0,0,0.32,0,0,0.32,5.12,0.32,2.56
