stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,2.14,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0,5.12,0,0,0.64,0,0.64,0.64,0,0.64,0.64,0,0,0,0,0,0.32,0,0,0,0.32,0,0,0.96,55.67,0.32,0.32,2.24,0.32
22Month,4.37,0.55,8.2,1.09,1.09,12.03,7.11,41,5.47,2.19,3.28,0,1.09,6.01,0.55,0.55,3.28,2.73,0.55,0,1.09,0,677.85,1.09,0,0,0.55,0,0,2.19
