stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,8.17,0,16.35,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,0,4.09,151.2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,3.21,2.14,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,0,0,0,0,0.32,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0
22Month,0.55,22.41,2.19,19.68,1.64,0.55,3.83,26.24,11.48,193.52,16.4,2.73,12.03,2.19,6.01,10.93,31.16,0.55,10.39,7.65,2.73,0,2.73,2.73,1935.7,0.55,4.92,1.64,0.55,0.55,7.65
