stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,2.56,0.32,0,0,0,3.52,1.6,0.64,0,1.6,0.64,0,0.32,0,0,0.32,0.32,0.32,0.64,0.96,0,0,1.28
22Month,0.55,0.55,0.55,1.09,3.28,0.55,21.87,0.55,6.01,0,0,1.64,2.19,0.55,1.09,0.55,0,0.55,0.55,0,0,0.55,0.55,0.55
