stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0,4.28,5.35,0,0,3.21,0,0,0,1.07,1.07,0,0,0
21Day,4.02,1.34,0,1.34,0,0,0,0,0,0,0,0,1.34,0,12.05,0,0,1.34,0,4.02,1.34,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0.32,1.92,0.32,2.56,0.32,0.64,1.6,0,27.2,0.32,1.6,0,1.6,0.64,3.2,0.32,0,0.64,0.32,0.32,0,0.64,0,0,0.96,3.2,0.32,0,0,0.96,1.92,0.96
22Month,0,1.64,0,0.55,1.09,0.55,1.09,0.55,40.45,0,0.55,0,0,1.09,2.19,0,1.64,0.55,0,0,0,0,0.55,0,0,0.55,0,0.55,0,0,0,1.64
