stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,4.09,122.59,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,2.14,2.14,0,0,0,0,0,0,3.21,7.49,1.07,7.49,0,2.14,1.07,0,3.21,19.26,6.42,0,0,1.07,1.07,0,0,0,0
21Day,2.68,0,8.03,0,0,1.34,0,0,1.34,0,0,4.02,0,2.68,0,0,0,0,0,1.34,1.34,0,0,4.02,0,1.34,0,0,0
3Month,0,0,1.92,0,0.32,0,0.32,0.32,2.24,1.6,0,0.32,0.32,0,0,0,0,0.32,0,0,0,0.64,27.52,0,0,0,0.32,12.8,0.96
22Month,0,0.55,0,0,0,0,0,0.55,38.81,0.55,0,0,0,1.64,1.09,1.64,0,0,0,0,0.55,0,9.29,0,0,0,0,0,0
