stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,1.07,0,0,0,0,0,0,0,0,1.07,0,0,8.56,3.21,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,2.88,0,0.96,0.32,0,3.52,0.96,1.92,0.64,0.32,0.64,0.64,0.32,0.64,0,0.96,0.32,0.32,0.32,71.03,0.64,0.32,35.83,0.64
22Month,0,0.55,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0.55,0
