stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,4.09,0,0,0,0,4.09,0,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,0,0,0,0,1.07,0,2.14,0,6.42,1.07,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,8.03,0,1.34,0,0,0,0,4.02,0,14.72,0,0,0,0
3Month,0.32,0.32,0.96,5.12,0.32,0,0.32,0,1.28,0,8,1.28,3.2,0.32,1.6,1.6,3.52,0,1.6,1.28,1.6,0,1.92,0.32,0,0.32,1.6,160.61,0.32,2.88,0.32,0.64,20.48,0.64
22Month,0,0.55,0,1.64,0.55,0.55,0,1.09,1.09,0,10.39,0,1.09,0,0,1.09,3.28,1.09,0.55,0,1.09,0,1.64,0.55,1.09,0,0,115.34,0,2.73,0,0,0,0.55
