stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0
21Day,0,0,5.35,1.34,0,1.34,0,0,4.02,0,0,6.69,1.34,1.34,0,0,0,0,0,0,6.69
3Month,0,0,0.64,0,0.96,8.32,0.96,9.28,0.32,0.32,0.32,0.64,0.32,0.96,0,0,1.28,0.32,0.32,0.96,0.64
22Month,0.55,0.55,0,0,0,42.64,2.19,8.75,2.19,1.09,0,1.64,2.73,0.55,0.55,0,1.64,0,0,0,6.56
