stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Macrophage,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell
24hpf,4.09,8.17,0,4.09,0,0,0,24.52,0,0
72hpf,0,1.07,0,0,1.07,2.14,1.07,2.14,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0.64,0,0,0,0,0,0.32,0.32
