stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,12.26,0,4.09,0,0,0,16.35,281.96,8.17,4.09,4.09,16.35,0,0,0,0,0
72hpf,1.07,1.07,24.61,0,0,0,0,0,0,317.73,0,2.14,21.4,10.7,3.21,0,0,1.07,0
21Day,2.68,0,72.28,1.34,0,0,0,0,0,244.95,0,4.02,1.34,4.02,1.34,0,0,1.34,1.34
3Month,0,0,18.24,0,0,1.28,0.32,0.96,0.32,0.96,0.96,0,0,0,0,0.32,0.64,0,0
22Month,0,0,0,0,0.55,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
