stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Oocyte,Primordial_germ_cell,T_cell
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.64,0.32,0.32,0.64,0,0.32,0.32,7.04,0.32,0,2.24,0
22Month,0,0,0,0.55,0.55,0,0,8.2,0.55,0.55,1.09,0.55
