stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,40.86,114.42,0,4.09,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,2.14,0,0,0,1.07,0,1.07,0,0
21Day,0,0,12.05,2.68,1.34,1.34,0,0,0,0,0,0,4.02,2.68,4.02,0,0,0,0,2.68,0,0,4.02,0,1.34,0,0,0
3Month,0,0,1.28,0,0,0,0.64,0.32,4.48,0.32,0.64,0,0,0.32,0.32,0.64,0,0,0.32,0.32,0,0,0,0,0,0,0,0.64
22Month,0.55,2.19,10.93,0,0,0,1.09,1.64,114.8,0,7.11,0.55,1.09,1.09,4.92,0,2.73,13.12,0,1.64,0,0.55,0,0,0,0,0,0
