stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,28.6,0,0,0,0,12.26,245.18,4.09,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,14.98,0,3.21,0,0,0,0,0,0,0,1.07,0,1.07,10.7,0,20.33,0,1.07,0,0,116.61,55.63,1.07,0,0,21.4,0,0,6.42,1.07,1.07,0,0,0
21Day,5.35,1.34,1.34,18.74,2.68,4.02,0,6.69,0,0,0,1.34,0,4.02,1.34,0,1.34,1.34,33.46,0,0,6.69,0,40.16,33.46,2.68,1.34,0,8.03,6.69,0,9.37,1.34,0,0,0,1.34
3Month,0.32,1.92,0,14.4,0.32,0,0.32,0.64,1.92,2.88,0,19.52,2.24,1.6,37.11,0.96,5.44,2.24,7.04,1.6,0,0.96,2.56,1.28,0.96,0.64,1.28,0,0.96,0.96,19.84,0,0,0,0.64,5.12,2.24
22Month,0.55,2.19,0.55,9.29,0,0,1.09,0.55,3.28,3.28,2.73,61.77,3.83,3.28,19.13,1.64,1.64,6.01,12.03,0,0.55,0.55,0,0.55,0.55,2.19,0.55,0.55,0.55,0,5.47,0.55,0,0,0.55,0,0.55
