stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,0,0,0,1.07,7.49,1.07,0,0,3.21,5.35,0,1.07,1.07,0,0,0,0,0
21Day,0,0,2.68,2.68,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,4.02,0,0,0,0,0,0
3Month,0.32,0.32,2.88,0,0.32,0.64,0.32,3.84,0,5.76,2.88,2.24,0.64,1.28,5.76,0.64,0.32,0.32,0,0.32,0,0,1.28,0.32,0.32,0.32,2.88
22Month,0,0.55,0,0,0.55,0,0.55,8.75,0.55,19.13,1.09,0,0,0,4.92,0.55,0,0,0,0,0,0,0,0,0,0,0.55
