stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,12.26,8.17,212.49,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,6.42,9.63,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,0,0,0,1.07,16.05,19.26,0,0,0,2.14,0,0,12.84,0,0,0,0,0
21Day,0,0,4.02,1.34,1.34,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,5.35,0,2.68,0,0,0,0,0,6.69,1.34,0,0,0,0
3Month,0.64,1.6,34.87,2.24,0,0.32,0,1.6,2.56,0,27.52,3.84,0,8.96,8.96,5.12,1.28,5.76,0,0.96,9.6,6.08,0.32,0.96,0.32,0,0.32,1.28,13.12,0.32,0,0.64,1.6,450.49,1.6
22Month,0,0,12.57,0,0,0,0.55,1.64,3.83,1.64,24.05,1.09,0.55,4.37,1.64,0.55,1.09,2.19,2.73,0.55,0.55,1.64,0,1.64,0,0.55,0,0,25.15,1.64,0,0,0,2.19,0
