stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,4.09,8.17,0,0,0,0,0,0,0,0,16.35,0,8.17,89.9,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,3.21,5.35,0,0,1.07,5.35,5.35,2.14,0,1.07
21Day,1.34,0,1.34,2.68,0,0,0,1.34,1.34,0,1.34,6.69,1.34,5.35,4.02,2.68,0,0
3Month,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0
22Month,0,0,0.55,0,0.55,1.64,0.55,0,0,0,1.09,1.64,0,0,0,0,0,0
