stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,8.17,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,1.34,5.35,0,2.68,0,2.68,2.68,0,1.34,0,0,0,0
3Month,0,1.28,0.32,5.44,0.32,0.32,0.96,2.24,8.64,0.64,0.32,2.56,1.28,4.16,2.24,4.8,1.28,0.64,0.32,0,0,0.32,3.2,0,1.6,40.31,1.92
22Month,0.55,0,0,0,0,0,0,1.09,4.37,0,0,0,0,0,0,2.19,0,0,0,0,0,0,1.09,0.55,0,0,0
