stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,5.35,0,0,1.07,0,0,0,5.35,0,0,1.07,1.07,0,0,0
21Day,5.35,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,25.43,0,0,1.34,0,0,0,6.69,0,0,0,2.68,0,0,0
3Month,0,1.92,1.92,0,0,0,0.32,0.96,0,0.96,0.32,0.96,0,0.64,4.16,0.32,0,0.32,0.32,0,0.32,0,0.64,0.32,0,0.32,0.32,0.32,0.64
22Month,0,1.64,1.64,0,1.09,1.09,1.09,3.28,1.09,27.33,0,1.64,0,1.09,3.83,0,1.09,0,0,0.55,0,1.09,0.55,0,0,0,0.55,0,1.09
