stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,4.09,0
21Day,0,1.34,0,0,0,2.68,0,0,0,0,0
3Month,0.64,0,0.32,0.32,0.32,0,0,0.64,0.32,0,5.12
22Month,0,0,0,0,0,0.55,0,0,0,0,2.19
