stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0,0,0,0,40.86,12.26,0,0,0,4.09,16.35,114.42,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,7.49,5.35,0,9.63,10.7,3.21,0,0,0,0,0,0,0,2.14,0,1.07,10.7,1.07,27.81,0,0,1.07,1.07,524.2,189.35,1.07,3.21,0,32.09,0,0,21.4,3.21,2.14,0,0,0
21Day,6.69,2.68,0,21.42,4.02,8.03,0,0,0,9.37,0,0,0,10.71,1.34,0,16.06,2.68,38.82,0,0,9.37,1.34,163.3,53.54,1.34,0,0,8.03,8.03,0,25.43,0,1.34,0,0,0
3Month,2.88,27.2,1.6,79.03,3.2,0,1.6,0.32,26.24,219.81,0,16.64,5.76,5.76,4.8,6.72,4.48,10.24,28.48,3.84,0,14.72,37.75,8.64,0.96,10.24,0.64,0,0.64,7.36,4.8,5.44,0,0.32,13.44,3.2,4.48
22Month,0,50.29,0,31.16,0.55,0,4.37,0,14.76,293.01,2.19,46.47,5.47,20.23,7.11,3.83,2.73,24.05,27.33,0.55,3.28,8.2,2.73,4.37,0.55,7.11,0.55,0.55,0,0,6.01,11.48,1.09,0,1.64,0,3.28
