stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,8.17,57.21,0,0,0,0,12.26,89.9,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,2.14,0,0,0,0,0,0,0,0,6.42,1.07,0,2.14,0,1.07,0,0,5.35,2.14,0,0,1.07,0,0,2.14,1.07,1.07,0,0,0
21Day,1.34,0,0,2.68,0,4.02,0,0,0,1.34,0,1.34,0,0,2.68,0,4.02,0,0,0,0,1.34,0,0,0,1.34,0,6.69,0,0,0,0,0,1.34
3Month,0,0,0,4.16,0,0,0.96,0.32,0,26.88,2.56,0.32,12.8,0.64,3.52,2.56,2.24,0.32,0,0.96,0.32,0,0,0,0,0.32,0.96,59.19,0.32,0,0,1.28,17.6,1.28
22Month,0,2.73,2.73,4.92,0,0,3.28,3.28,3.28,105.5,2.73,0.55,16.4,1.64,0.55,2.19,4.92,0,4.92,2.19,0,0.55,0,0.55,20.77,1.09,0,69.43,1.09,0,0,0.55,0,0.55
