stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,0,9.63,3.21,0,0,0
21Day,0,2.68,0,0,0,0,1.34,0,0,1.34,16.06,0,2.68,0,1.34
3Month,0,0,0.32,0,1.28,0,0,0,0.32,0,2.24,0,0,0.32,0
22Month,0,1.09,0,1.09,6.01,0.55,0,1.09,0.55,0,1.09,0,0,0,0
